bank,date_dt,mean_stance,disagreement,disagreement_pred,bnd_uncertainty,sign_conflict_rate,n_turns,is_test,model_choice_spread
ECB,2018-09-13,-0.011111111111111112,0.13142696805273546,0.07772388662424352,0.5871612048107717,0.06666666666666667,15,1,0.08089010988089465
ECB,2018-10-25,-0.05555555555555555,0.06759780629394231,0.10890113473458586,0.3927873668108199,0.0,18,0,0.05555555555555555
ECB,2018-12-13,-0.15555555555555556,0.17921100227213288,0.09393105095111492,0.5218138470345607,0.0,15,0,0.10657403385139377
ECB,2019-01-24,-0.10606060606060605,0.10927021746487448,0.08849541090066393,0.4935201778867271,0.045454545454545456,22,0,0.07266411398958667
ECB,2019-03-07,-0.23076923076923078,0.20678192569861487,0.08036570104719253,0.5011671465170048,0.0,13,0,0.10878565864408425
ECB,2019-04-10,-0.1875,0.17329590794557165,0.06792866366726974,0.5346517403594984,0.125,16,0,0.08068715304598785
ECB,2019-06-06,-0.35294117647058826,0.16435945779297573,0.08471892872652903,0.5611982379062419,0.058823529411764705,17,0,0.08985442539129097
ECB,2019-07-25,-0.25925925925925924,0.20478312460774337,0.07315895379947676,0.5749883693625117,0.1111111111111111,18,0,0.130945700219731
ECB,2019-09-12,-0.2777777777777778,0.1755316419373903,0.08662817713283505,0.5223822099511116,0.0,18,0,0.1111111111111111
ECB,2019-10-24,-0.2101449275362319,0.04861017342390848,0.06523406025357759,0.4402606761389188,0.0,23,1,0.016203391141302825
ECB,2019-12-12,0.012820512820512822,0.0747234246762332,0.09099320635834797,0.5591354228849944,0.0,13,0,0.028667538173074228
ECB,2020-01-23,-0.08333333333333333,0.13015438111897135,0.061017797526175525,0.6105527657644674,0.08333333333333333,12,0,0.048112522432468816
ECB,2020-03-12,-0.630952380952381,0.2432089676694968,0.08809139237756425,0.633290450976043,0.0,14,0,0.15658269569007027
ECB,2020-04-30,-0.5185185185185186,0.24630672369899573,0.10086394996206355,0.594022424521671,0.0,9,0,0.17762338975232295
ECB,2020-06-04,-0.45,0.14428090415820632,0.08714463829390251,0.5207975929202637,0.0,10,0,0.09574271077563382
ECB,2020-07-16,-0.24074074074074073,0.19854350651367333,0.06098441522122211,0.6105473094677705,0.0,9,0,0.14930106941293608
ECB,2020-09-10,-0.26666666666666666,0.2618033988749895,0.07046095104855787,0.6297086890262549,0.0,10,0,0.15986105077709065
ECB,2020-10-29,-0.5972222222222222,0.2051763754825743,0.09593604309641048,0.7640558732475796,0.0,12,0,0.11197580205970206
ECB,2020-12-10,-0.7083333333333334,0.1863389981249825,0.06770726563050741,0.4858393542334589,0.0,8,0,0.1178511301977579
ECB,2021-01-21,-0.5416666666666666,0.18392556509887897,0.051068648038435485,0.5967880032209351,0.0,8,0,0.13819269959814165
ECB,2021-03-11,-0.6041666666666667,0.28180932510322915,0.09624521053355505,0.6562953963224444,0.125,8,1,0.22146137109863853
ECB,2021-04-22,-0.34722222222222227,0.13245320912841055,0.07914626497188022,0.6722474771287011,0.0,12,0,0.057265355911356404
ECB,2021-06-10,-0.2121212121212121,0.20595593666105627,0.038772923905414605,0.7307408261340136,0.09090909090909091,11,0,0.06775963568181181
ECB,2021-07-08,-0.09722222222222221,0.19794577541818917,0.07300428440983235,0.5961262078526263,0.08333333333333333,12,0,0.12187450538044613
ECB,2021-07-22,-0.21212121212121213,0.25576529515358326,0.08793683457632638,0.6736037484727095,0.09090909090909091,11,1,0.14532822797917333
ECB,2021-09-09,-0.041666666666666664,0.24860711330485652,0.08125250263402646,0.6212634924009223,0.16666666666666666,12,0,0.10485881160098263
ECB,2021-10-28,-0.011904761904761908,0.25386624219309845,0.06386113350313329,0.5021139591988482,0.21428571428571427,14,0,0.18633899812498245
ECB,2021-12-16,-0.2619047619047619,0.2944061471902798,0.06330734070769249,0.7329248941081651,0.0,7,1,0.12821820969367867
ECB,2022-02-03,0.27380952380952384,0.2095372161844231,0.0978431080149056,0.7402243084745764,0.0,14,1,0.08666797487238713
ECB,2022-03-10,0.0625,0.10551031463012459,0.08520055363635096,0.6538777351835353,0.0,8,0,0.09547032697824667
ECB,2022-04-14,0.25,0.17167605132909616,0.08617495954798084,0.7034978383271235,0.0,10,0,0.13844373104863458
ECB,2022-06-09,0.5454545454545454,0.23917946142400515,0.05023372692557055,0.617836524753759,0.0,11,0,0.09090909090909093
ECB,2022-07-21,0.33333333333333337,0.10937619914123384,0.08800237504040101,0.463237958883493,0.07142857142857142,14,0,0.0789672569132238
ECB,2022-09-08,0.717948717948718,0.0935969625608432,0.10324807548144724,0.4702782722315443,0.0,13,0,0.05733507634614846
ECB,2022-10-27,0.6333333333333333,0.09428090415820634,0.08333694488818763,0.46532078757731643,0.0,10,0,0.09428090415820632
